Record ID,Implementation Name,Implementation Type,Implementation pipeline stage,Time in current stage,Date entered current stage,PO Date,Implementation Live/Complete,Duration between PO date and Live/Complete Date,Estimated Go-Live Date,Object create date/time,"Date entered ""Not Started (Implementation Pipeline)""","Date exited ""Not Started (Implementation Pipeline)""","Date entered ""Pending Sales Purchase Review (Implementation Pipeline)""","Date exited ""Pending Sales Purchase Review (Implementation Pipeline)""","Date entered ""Pending Kickoff Call (Implementation Pipeline)""","Date exited ""Pending Kickoff Call (Implementation Pipeline)""","Date entered ""Pending Technical Readiness (Implementation Pipeline)""","Date exited ""Pending Technical Readiness (Implementation Pipeline)""","Date entered ""Pending Server Tour (Implementation Pipeline)""","Date exited ""Pending Server Tour (Implementation Pipeline)""","Date entered ""Pending Server/Remote Access (Implementation Pipeline)""","Date exited ""Pending Server/Remote Access (Implementation Pipeline)""","Date entered ""Pending Software Installation (Implementation Pipeline)""","Date exited ""Pending Software Installation (Implementation Pipeline)""","Date entered ""Software Installation Completed (Implementation Pipeline)""","Date exited ""Software Installation Completed (Implementation Pipeline)""","Date entered ""Network Testing (Implementation Pipeline)""","Date exited ""Network Testing (Implementation Pipeline)""","Date entered ""Network Testing Completed (Implementation Pipeline)""","Date exited ""Network Testing Completed (Implementation Pipeline)""","Date entered ""In Progress (Implementation Pipeline)""","Date exited ""In Progress (Implementation Pipeline)""","Date entered ""In Training (Implementation Pipeline)""","Date exited ""In Training (Implementation Pipeline)""","Date entered ""Waiting on Customer (Implementation Pipeline)""","Date exited ""Waiting on Customer (Implementation Pipeline)""","Date entered ""Waiting on GD (Implementation Pipeline)""","Date exited ""Waiting on GD (Implementation Pipeline)""","Date entered ""On-hold (Implementation Pipeline)""","Date exited ""On-hold (Implementation Pipeline)""","Date entered ""Go-Live Scheduled (Implementation Pipeline)""","Date exited ""Go-Live Scheduled (Implementation Pipeline)""","Date entered ""Implementation Live/Complete (Implementation Pipeline)""","Date exited ""Implementation Live/Complete (Implementation Pipeline)"""
33000025,Implementation 33000025,CAREpoint,Not Started,259200000,2026-06-28T00:00:00Z,06/20/2026,,,10/18/2026,2026-06-13T00:00:00Z,2026-06-28T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000026,Implementation 33000026,e-Bridge,Not Started,345600000,2026-06-27T00:00:00Z,06/15/2026,,,10/13/2026,2026-06-04T00:00:00Z,2026-06-27T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000027,Implementation 33000027,CAREpoint;e-Bridge,Not Started,432000000,2026-06-26T00:00:00Z,06/17/2026,,,10/15/2026,2026-06-13T00:00:00Z,2026-06-26T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000028,Implementation 33000028,CAREpoint,Not Started,518400000,2026-06-25T00:00:00Z,06/18/2026,,,10/16/2026,2026-06-09T00:00:00Z,2026-06-25T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000029,Implementation 33000029,e-Bridge,Not Started,604800000,2026-06-24T00:00:00Z,06/24/2026,,,10/22/2026,2026-06-07T00:00:00Z,2026-06-24T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000030,Implementation 33000030,CAREpoint;e-Bridge,In Progress,691200000,2026-06-23T00:00:00Z,02/20/2026,,,06/20/2026,2026-01-31T00:00:00Z,2026-01-31T00:00:00Z,2026-02-14T00:00:00Z,2026-02-14T00:00:00Z,2026-02-19T00:00:00Z,,,2026-02-19T00:00:00Z,2026-03-08T00:00:00Z,2026-03-08T00:00:00Z,2026-03-28T00:00:00Z,2026-03-28T00:00:00Z,2026-04-19T00:00:00Z,2026-04-19T00:00:00Z,2026-05-11T00:00:00Z,,,,,,,2026-06-23T00:00:00Z,,,,,,,,,,,,,
33000031,Implementation 33000031,CAREpoint,In Progress,777600000,2026-06-22T00:00:00Z,02/17/2026,,,06/17/2026,2026-01-29T00:00:00Z,2026-01-29T00:00:00Z,2026-02-06T00:00:00Z,,,2026-02-06T00:00:00Z,2026-02-26T00:00:00Z,2026-02-26T00:00:00Z,2026-03-16T00:00:00Z,2026-03-16T00:00:00Z,2026-04-03T00:00:00Z,2026-04-03T00:00:00Z,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z,2026-04-30T00:00:00Z,2026-04-30T00:00:00Z,2026-05-21T00:00:00Z,,,,,2026-06-22T00:00:00Z,,,,,,,,,,,,,
33000032,Implementation 33000032,CAREpoint,In Progress,864000000,2026-06-21T00:00:00Z,02/08/2026,,,06/08/2026,2026-01-30T00:00:00Z,2026-01-30T00:00:00Z,2026-02-20T00:00:00Z,2026-02-20T00:00:00Z,2026-03-10T00:00:00Z,2026-03-10T00:00:00Z,2026-03-14T00:00:00Z,,,2026-03-14T00:00:00Z,2026-03-21T00:00:00Z,2026-03-21T00:00:00Z,2026-03-31T00:00:00Z,2026-03-31T00:00:00Z,2026-04-13T00:00:00Z,2026-04-13T00:00:00Z,2026-05-02T00:00:00Z,,,2026-05-02T00:00:00Z,2026-05-09T00:00:00Z,2026-06-21T00:00:00Z,,,,,,,,,,,,,
33000033,Implementation 33000033,CAREpoint;e-Bridge,In Progress,950400000,2026-06-20T00:00:00Z,04/18/2026,,,08/16/2026,2026-04-15T00:00:00Z,,,,,2026-04-15T00:00:00Z,2026-04-21T00:00:00Z,,,2026-04-21T00:00:00Z,2026-05-05T00:00:00Z,2026-05-05T00:00:00Z,2026-05-25T00:00:00Z,,,,,,,2026-05-25T00:00:00Z,2026-05-29T00:00:00Z,2026-06-20T00:00:00Z,,,,,,,,,,,,,
33000034,Implementation 33000034,CAREpoint,In Progress,1036800000,2026-06-19T00:00:00Z,02/09/2026,,,06/09/2026,2026-02-03T00:00:00Z,2026-02-03T00:00:00Z,2026-02-25T00:00:00Z,2026-02-25T00:00:00Z,2026-03-17T00:00:00Z,2026-03-17T00:00:00Z,2026-03-27T00:00:00Z,,,,,,,2026-03-27T00:00:00Z,2026-04-04T00:00:00Z,2026-04-04T00:00:00Z,2026-04-19T00:00:00Z,2026-04-19T00:00:00Z,2026-05-08T00:00:00Z,2026-05-08T00:00:00Z,2026-05-18T00:00:00Z,2026-06-19T00:00:00Z,,,,,,,,,,,,,
33000035,Implementation 33000035,CAREpoint,In Progress,1123200000,2026-06-18T00:00:00Z,05/27/2026,,,09/24/2026,2026-05-20T00:00:00Z,,,,,,,,,2026-05-20T00:00:00Z,2026-05-31T00:00:00Z,,,,,2026-05-31T00:00:00Z,2026-06-06T00:00:00Z,,,2026-06-06T00:00:00Z,2026-06-23T00:00:00Z,2026-06-18T00:00:00Z,,,,,,,,,,,,,
33000036,Implementation 33000036,CAREpoint,In Progress,172800000,2026-06-29T00:00:00Z,03/11/2026,,,07/09/2026,2026-03-07T00:00:00Z,2026-03-07T00:00:00Z,2026-03-24T00:00:00Z,,,,,2026-03-24T00:00:00Z,2026-03-30T00:00:00Z,,,2026-03-30T00:00:00Z,2026-04-18T00:00:00Z,,,2026-04-18T00:00:00Z,2026-05-02T00:00:00Z,,,2026-05-02T00:00:00Z,2026-05-09T00:00:00Z,2026-06-29T00:00:00Z,,,,,,,,,,,,,
33000037,Implementation 33000037,CAREpoint,In Progress,259200000,2026-06-28T00:00:00Z,03/31/2026,,,07/29/2026,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-04-03T00:00:00Z,2026-04-03T00:00:00Z,2026-04-10T00:00:00Z,,,2026-04-10T00:00:00Z,2026-04-27T00:00:00Z,,,,,2026-04-27T00:00:00Z,2026-05-05T00:00:00Z,,,,,,,2026-06-28T00:00:00Z,,,,,,,,,,,,,
33000038,Implementation 33000038,CAREpoint,In Progress,345600000,2026-06-27T00:00:00Z,03/04/2026,,,07/02/2026,2026-02-18T00:00:00Z,2026-02-18T00:00:00Z,2026-03-09T00:00:00Z,,,2026-03-09T00:00:00Z,2026-03-24T00:00:00Z,,,2026-03-24T00:00:00Z,2026-03-29T00:00:00Z,,,,,,,2026-03-29T00:00:00Z,2026-04-20T00:00:00Z,,,2026-06-27T00:00:00Z,,,,,,,,,,,,,
33000039,Implementation 33000039,CAREpoint,In Progress,432000000,2026-06-26T00:00:00Z,04/12/2026,,,08/10/2026,2026-03-23T00:00:00Z,,,,,2026-03-23T00:00:00Z,2026-03-31T00:00:00Z,2026-03-31T00:00:00Z,2026-04-20T00:00:00Z,2026-04-20T00:00:00Z,2026-05-05T00:00:00Z,,,,,2026-05-05T00:00:00Z,2026-05-15T00:00:00Z,,,2026-05-15T00:00:00Z,2026-06-02T00:00:00Z,2026-06-26T00:00:00Z,,,,,,,,,,,,,
33000040,Implementation 33000040,CAREpoint;e-Bridge,In Progress,518400000,2026-06-25T00:00:00Z,03/11/2026,,,07/09/2026,2026-02-22T00:00:00Z,,,2026-02-22T00:00:00Z,2026-02-26T00:00:00Z,,,,,2026-02-26T00:00:00Z,2026-03-17T00:00:00Z,2026-03-17T00:00:00Z,2026-03-26T00:00:00Z,2026-03-26T00:00:00Z,2026-04-05T00:00:00Z,,,,,2026-04-05T00:00:00Z,2026-04-21T00:00:00Z,2026-06-25T00:00:00Z,,,,,,,,,,,,,
33000041,Implementation 33000041,CAREpoint,In Progress,604800000,2026-06-24T00:00:00Z,02/03/2026,,,06/03/2026,2026-01-31T00:00:00Z,,,2026-01-31T00:00:00Z,2026-02-22T00:00:00Z,2026-02-22T00:00:00Z,2026-03-06T00:00:00Z,2026-03-06T00:00:00Z,2026-03-26T00:00:00Z,2026-03-26T00:00:00Z,2026-04-11T00:00:00Z,2026-04-11T00:00:00Z,2026-04-24T00:00:00Z,,,2026-04-24T00:00:00Z,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z,2026-05-27T00:00:00Z,,,2026-06-24T00:00:00Z,,,,,,,,,,,,,
33000042,Implementation 33000042,e-Bridge,In Progress,691200000,2026-06-23T00:00:00Z,05/15/2026,,,09/12/2026,2026-04-28T00:00:00Z,,,,,,,,,2026-04-28T00:00:00Z,2026-05-13T00:00:00Z,,,,,,,,,2026-05-13T00:00:00Z,2026-05-28T00:00:00Z,2026-06-23T00:00:00Z,,,,,,,,,,,,,
33000043,Implementation 33000043,CAREpoint,In Progress,777600000,2026-06-22T00:00:00Z,04/13/2026,,,08/11/2026,2026-03-25T00:00:00Z,2026-03-25T00:00:00Z,2026-04-04T00:00:00Z,,,,,2026-04-04T00:00:00Z,2026-04-12T00:00:00Z,,,,,2026-04-12T00:00:00Z,2026-04-30T00:00:00Z,,,2026-04-30T00:00:00Z,2026-05-07T00:00:00Z,,,2026-06-22T00:00:00Z,,,,,,,,,,,,,
33000044,Implementation 33000044,CAREpoint,In Progress,864000000,2026-06-21T00:00:00Z,03/24/2026,,,07/22/2026,2026-03-12T00:00:00Z,,,2026-03-12T00:00:00Z,2026-03-19T00:00:00Z,,,2026-03-19T00:00:00Z,2026-04-06T00:00:00Z,2026-04-06T00:00:00Z,2026-04-10T00:00:00Z,2026-04-10T00:00:00Z,2026-04-26T00:00:00Z,2026-04-26T00:00:00Z,2026-05-02T00:00:00Z,,,2026-05-02T00:00:00Z,2026-05-19T00:00:00Z,2026-05-19T00:00:00Z,2026-05-23T00:00:00Z,2026-06-21T00:00:00Z,,,,,,,,,,,,,
33000045,Implementation 33000045,CAREpoint;e-Bridge,In Progress,950400000,2026-06-20T00:00:00Z,06/11/2026,,,10/09/2026,2026-05-22T00:00:00Z,,,2026-05-22T00:00:00Z,2026-05-30T00:00:00Z,,,2026-05-30T00:00:00Z,2026-06-04T00:00:00Z,,,,,,,,,,,2026-06-04T00:00:00Z,2026-06-18T00:00:00Z,2026-06-20T00:00:00Z,,,,,,,,,,,,,
33000046,Implementation 33000046,CAREpoint,In Progress,1036800000,2026-06-19T00:00:00Z,03/25/2026,,,07/23/2026,2026-03-19T00:00:00Z,,,,,2026-03-19T00:00:00Z,2026-04-04T00:00:00Z,,,,,2026-04-04T00:00:00Z,2026-04-24T00:00:00Z,2026-04-24T00:00:00Z,2026-05-16T00:00:00Z,,,,,,,2026-06-19T00:00:00Z,,,,,,,,,,,,,
33000047,Implementation 33000047,CAREpoint;e-Bridge,In Progress,1123200000,2026-06-18T00:00:00Z,04/12/2026,,,08/10/2026,2026-04-09T00:00:00Z,2026-04-09T00:00:00Z,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z,2026-04-25T00:00:00Z,,,,,,,,,2026-04-25T00:00:00Z,2026-05-06T00:00:00Z,2026-05-06T00:00:00Z,2026-05-13T00:00:00Z,2026-05-13T00:00:00Z,2026-05-23T00:00:00Z,2026-05-23T00:00:00Z,2026-05-28T00:00:00Z,2026-06-18T00:00:00Z,,,,,,,,,,,,,
33000048,Implementation 33000048,CAREpoint,In Progress,172800000,2026-06-29T00:00:00Z,04/24/2026,,,08/22/2026,2026-04-04T00:00:00Z,2026-04-04T00:00:00Z,2026-04-19T00:00:00Z,2026-04-19T00:00:00Z,2026-04-28T00:00:00Z,,,,,,,,,2026-04-28T00:00:00Z,2026-05-12T00:00:00Z,,,,,,,2026-06-29T00:00:00Z,,,,,,,,,,,,,
33000049,Implementation 33000049,CAREpoint;e-Bridge,In Progress,259200000,2026-06-28T00:00:00Z,03/06/2026,,,07/04/2026,2026-03-04T00:00:00Z,2026-03-04T00:00:00Z,2026-03-12T00:00:00Z,2026-03-12T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-04-01T00:00:00Z,,,2026-04-01T00:00:00Z,2026-04-13T00:00:00Z,2026-04-13T00:00:00Z,2026-04-20T00:00:00Z,2026-04-20T00:00:00Z,2026-05-06T00:00:00Z,,,,,2026-05-06T00:00:00Z,2026-05-22T00:00:00Z,2026-06-28T00:00:00Z,,,,,,,,,,,,,
33000050,Implementation 33000050,CAREpoint,In Progress,345600000,2026-06-27T00:00:00Z,02/15/2026,,,06/15/2026,2026-01-30T00:00:00Z,2026-01-30T00:00:00Z,2026-02-13T00:00:00Z,2026-02-13T00:00:00Z,2026-02-25T00:00:00Z,,,,,2026-02-25T00:00:00Z,2026-03-19T00:00:00Z,,,2026-03-19T00:00:00Z,2026-04-08T00:00:00Z,2026-04-08T00:00:00Z,2026-04-20T00:00:00Z,2026-04-20T00:00:00Z,2026-04-27T00:00:00Z,2026-04-27T00:00:00Z,2026-05-10T00:00:00Z,2026-06-27T00:00:00Z,,,,,,,,,,,,,
33000051,Implementation 33000051,CAREpoint,In Progress,432000000,2026-06-26T00:00:00Z,05/12/2026,,,09/09/2026,2026-04-26T00:00:00Z,,,,,2026-04-26T00:00:00Z,2026-05-01T00:00:00Z,2026-05-01T00:00:00Z,2026-05-20T00:00:00Z,2026-05-20T00:00:00Z,2026-05-24T00:00:00Z,,,2026-05-24T00:00:00Z,2026-06-15T00:00:00Z,,,2026-06-15T00:00:00Z,2026-06-24T00:00:00Z,,,2026-06-26T00:00:00Z,,,,,,,,,,,,,
33000052,Implementation 33000052,CAREpoint,In Progress,518400000,2026-06-25T00:00:00Z,03/27/2026,,,07/25/2026,2026-03-15T00:00:00Z,,,,,,,2026-03-15T00:00:00Z,2026-03-29T00:00:00Z,2026-03-29T00:00:00Z,2026-04-07T00:00:00Z,,,2026-04-07T00:00:00Z,2026-04-21T00:00:00Z,,,2026-04-21T00:00:00Z,2026-04-30T00:00:00Z,2026-04-30T00:00:00Z,2026-05-13T00:00:00Z,2026-06-25T00:00:00Z,,,,,,,,,,,,,
33000053,Implementation 33000053,CAREpoint,In Progress,604800000,2026-06-24T00:00:00Z,03/12/2026,,,07/10/2026,2026-03-10T00:00:00Z,,,,,2026-03-10T00:00:00Z,2026-03-15T00:00:00Z,2026-03-15T00:00:00Z,2026-03-29T00:00:00Z,,,,,,,2026-03-29T00:00:00Z,2026-04-06T00:00:00Z,2026-04-06T00:00:00Z,2026-04-20T00:00:00Z,2026-04-20T00:00:00Z,2026-05-10T00:00:00Z,2026-06-24T00:00:00Z,,,,,,,,,,,,,
33000054,Implementation 33000054,CAREpoint;e-Bridge,In Progress,691200000,2026-06-23T00:00:00Z,03/09/2026,,,07/07/2026,2026-02-28T00:00:00Z,2026-02-28T00:00:00Z,2026-03-04T00:00:00Z,2026-03-04T00:00:00Z,2026-03-21T00:00:00Z,2026-03-21T00:00:00Z,2026-04-01T00:00:00Z,2026-04-01T00:00:00Z,2026-04-11T00:00:00Z,,,,,2026-04-11T00:00:00Z,2026-04-30T00:00:00Z,2026-04-30T00:00:00Z,2026-05-18T00:00:00Z,,,2026-05-18T00:00:00Z,2026-05-26T00:00:00Z,2026-06-23T00:00:00Z,,,,,,,,,,,,,
33000055,Implementation 33000055,e-Bridge,In Progress,777600000,2026-06-22T00:00:00Z,02/23/2026,,,06/23/2026,2026-02-16T00:00:00Z,2026-02-16T00:00:00Z,2026-03-08T00:00:00Z,,,2026-03-08T00:00:00Z,2026-03-12T00:00:00Z,,,,,2026-03-12T00:00:00Z,2026-03-28T00:00:00Z,2026-03-28T00:00:00Z,2026-04-15T00:00:00Z,2026-04-15T00:00:00Z,2026-04-27T00:00:00Z,,,2026-04-27T00:00:00Z,2026-05-16T00:00:00Z,2026-06-22T00:00:00Z,,,,,,,,,,,,,
33000056,Implementation 33000056,CAREpoint;e-Bridge,In Progress,864000000,2026-06-21T00:00:00Z,02/23/2026,,,06/23/2026,2026-02-20T00:00:00Z,2026-02-20T00:00:00Z,2026-03-09T00:00:00Z,,,2026-03-09T00:00:00Z,2026-03-15T00:00:00Z,2026-03-15T00:00:00Z,2026-04-03T00:00:00Z,,,,,2026-04-03T00:00:00Z,2026-04-07T00:00:00Z,2026-04-07T00:00:00Z,2026-04-18T00:00:00Z,2026-04-18T00:00:00Z,2026-04-23T00:00:00Z,2026-04-23T00:00:00Z,2026-05-04T00:00:00Z,2026-06-21T00:00:00Z,,,,,,,,,,,,,
33000057,Implementation 33000057,e-Bridge,In Progress,950400000,2026-06-20T00:00:00Z,05/15/2026,,,09/12/2026,2026-05-13T00:00:00Z,,,,,,,,,,,2026-05-13T00:00:00Z,2026-05-28T00:00:00Z,,,,,,,2026-05-28T00:00:00Z,2026-06-09T00:00:00Z,2026-06-20T00:00:00Z,,,,,,,,,,,,,
33000058,Implementation 33000058,e-Bridge,Pending Server/Remote Access,1814400000,2026-06-10T00:00:00Z,03/05/2026,,,07/03/2026,2026-02-25T00:00:00Z,,,2026-02-25T00:00:00Z,2026-03-02T00:00:00Z,2026-03-02T00:00:00Z,2026-03-17T00:00:00Z,,,2026-03-17T00:00:00Z,2026-03-23T00:00:00Z,2026-06-10T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,
33000059,Implementation 33000059,CAREpoint,Pending Server/Remote Access,1900800000,2026-06-09T00:00:00Z,04/17/2026,,,08/15/2026,2026-03-29T00:00:00Z,,,2026-03-29T00:00:00Z,2026-04-10T00:00:00Z,2026-04-10T00:00:00Z,2026-05-02T00:00:00Z,,,,,2026-06-09T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,
33000060,Implementation 33000060,CAREpoint,Pending Server/Remote Access,1987200000,2026-06-08T00:00:00Z,03/14/2026,,,07/12/2026,2026-03-03T00:00:00Z,,,,,2026-03-03T00:00:00Z,2026-03-21T00:00:00Z,,,,,2026-06-08T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,
33000061,Implementation 33000061,e-Bridge,Pending Server/Remote Access,2073600000,2026-06-07T00:00:00Z,03/10/2026,,,07/08/2026,2026-02-18T00:00:00Z,2026-02-18T00:00:00Z,2026-03-08T00:00:00Z,,,2026-03-08T00:00:00Z,2026-03-29T00:00:00Z,,,2026-03-29T00:00:00Z,2026-04-15T00:00:00Z,2026-06-07T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,
